branch,skills,cgpa,projects,internships,communication,career
CSE,react node mongodb fullstack,7.41,5,0,8,Full Stack Developer
CSE,java spring boot microservices,8.35,1,2,9,Software Engineer
CSE,python flask apis backend,8.9,1,2,8,Backend Developer
CSE,thermal systems manufacturing,7.27,2,0,10,Mechanical Engineer
CSE,nodejs express mongodb api,7.02,5,1,6,Backend Developer
CSE,html css javascript react,7.5,2,2,6,Frontend Developer
CSE,java spring boot microservices,9.46,5,1,9,Software Engineer
CSE,infrastructure design planning,6.65,2,2,8,Site Engineer
CSE,structure planning autocad,8.08,1,2,9,Civil Engineer
CSE,python flask apis backend,8.39,3,2,6,Backend Developer
CSE,react node mongodb fullstack,6.74,2,1,9,Full Stack Developer
CSE,structure planning autocad,6.52,3,0,9,Civil Engineer
CSE,react node mongodb fullstack,7.79,5,2,8,Full Stack Developer
CSE,flutter mobile apps firebase,8.58,4,2,10,Mobile App Developer
CSE,embedded c microcontrollers,8.59,3,0,8,Embedded Engineer
CSE,python machine learning ai data analysis,8.55,3,0,6,Data Scientist
CSE,signal processing electronics,8.74,2,2,6,Embedded Engineer
CSE,flutter mobile apps firebase,8.27,1,2,10,Mobile App Developer
CSE,embedded c microcontrollers,6.54,2,0,6,Embedded Engineer
CSE,iot sensors arduino embedded,7.7,5,2,10,IoT Engineer
CSE,thermal systems manufacturing,9.21,3,2,7,Mechanical Engineer
CSE,verilog vlsi design circuits,9.2,4,1,8,Hardware Engineer
CSE,django python sql backend,8.77,5,0,6,Backend Developer
CSE,robotics automation design,6.54,1,2,9,Design Engineer
CSE,python flask apis backend,7.78,2,2,10,Backend Developer
CSE,ai deep learning neural networks,6.71,3,1,10,AI Engineer
CSE,cyber security linux networking,6.9,2,0,10,Security Analyst
CSE,thermal systems manufacturing,7.68,4,2,9,Mechanical Engineer
CSE,iot sensors arduino embedded,8.37,1,1,10,IoT Engineer
CSE,ai deep learning neural networks,8.87,5,0,8,AI Engineer
CSE,java spring boot microservices,9.2,4,0,8,Software Engineer
CSE,autocad solidworks design,7.31,2,1,6,Design Engineer
CSE,embedded c microcontrollers,8.99,3,0,8,Embedded Engineer
CSE,aws docker kubernetes cloud,8.75,1,2,8,DevOps Engineer
CSE,verilog vlsi design circuits,9.02,3,1,6,Hardware Engineer
CSE,mechanical cad cam,7.46,4,2,8,Mechanical Engineer
CSE,cyber security linux networking,8.53,1,0,10,Security Analyst
CSE,java spring boot microservices,6.58,3,1,8,Software Engineer
CSE,thermal systems manufacturing,7.49,2,2,9,Mechanical Engineer
CSE,embedded c microcontrollers,6.95,2,0,10,Embedded Engineer
CSE,signal processing electronics,6.71,1,2,6,Embedded Engineer
CSE,mechanical cad cam,6.71,5,0,7,Mechanical Engineer
CSE,java spring boot microservices,7.21,2,1,7,Software Engineer
CSE,verilog vlsi design circuits,8.3,4,1,6,Hardware Engineer
CSE,nodejs express mongodb api,7.03,3,1,9,Backend Developer
CSE,html css javascript react,8.16,5,1,8,Frontend Developer
CSE,geotechnical civil engineering,8.32,2,0,9,Civil Engineer
CSE,java spring boot microservices,7.38,5,0,9,Software Engineer
CSE,embedded c microcontrollers,8.91,2,2,6,Embedded Engineer
CSE,robotics automation design,8.19,1,1,8,Design Engineer
CSE,signal processing electronics,7.49,4,0,7,Embedded Engineer
CSE,python machine learning ai data analysis,7.1,2,2,8,Data Scientist
CSE,nodejs express mongodb api,7.68,5,1,9,Backend Developer
CSE,mechanical cad cam,7.14,5,1,9,Mechanical Engineer
CSE,thermal systems manufacturing,9.48,3,0,7,Mechanical Engineer
CSE,autocad solidworks design,8.31,3,2,8,Design Engineer
