branch,skills,cgpa,projects,internships,communication,career
CE,construction surveying site work,8.55,1,2,9,Site Engineer
CE,infrastructure design planning,7.52,5,2,8,Site Engineer
ME,robotics automation design,7.92,2,1,8,Design Engineer
ME,autocad solidworks design,8.17,4,0,10,Design Engineer
CE,construction surveying site work,9.18,1,2,10,Civil Engineer
IT,aws docker kubernetes cloud,7.79,5,0,8,Backend Developer
CSE,nodejs express mongodb api,7.27,5,1,7,Data Scientist
CSE,django python sql backend,6.96,1,0,8,AI Engineer
IT,aws docker kubernetes cloud,8.49,4,2,6,Security Analyst
IT,cyber security linux networking,8.11,1,2,8,Full Stack Developer
ECE,iot sensors arduino embedded,7.02,5,0,10,Hardware Engineer
ME,mechanical cad cam,6.72,4,0,8,Design Engineer
IT,react node mongodb fullstack,8.7,5,0,6,DevOps Engineer
ME,thermal systems manufacturing,8.72,1,0,10,Design Engineer
ME,thermal systems manufacturing,8.78,1,1,8,Design Engineer
CE,structure planning autocad,8.22,5,1,7,Site Engineer
CE,infrastructure design planning,8.78,1,2,10,Site Engineer
ECE,iot sensors arduino embedded,6.58,4,2,6,IoT Engineer
IT,react node mongodb fullstack,8.92,2,1,7,DevOps Engineer
CE,construction surveying site work,7.28,2,1,8,Site Engineer
CE,infrastructure design planning,9.26,4,2,10,Site Engineer
ME,thermal systems manufacturing,9.27,4,1,10,Design Engineer
ME,thermal systems manufacturing,9.27,2,0,9,Design Engineer
ECE,verilog vlsi design circuits,9.0,2,2,6,Hardware Engineer
CE,geotechnical civil engineering,8.88,4,0,9,Site Engineer
ME,robotics automation design,6.56,4,2,9,Design Engineer
ECE,embedded c microcontrollers,8.76,2,1,6,Hardware Engineer
ME,robotics automation design,7.97,5,2,8,Design Engineer
ME,autocad solidworks design,9.4,2,2,6,Mechanical Engineer
CSE,ai deep learning neural networks,8.03,1,1,10,Backend Developer
CE,geotechnical civil engineering,9.13,4,0,10,Site Engineer
ME,autocad solidworks design,6.58,5,1,6,Design Engineer
CSE,django python sql backend,7.23,4,2,7,AI Engineer
IT,python flask apis backend,6.97,2,2,7,Full Stack Developer
ECE,embedded c microcontrollers,6.85,5,0,7,Embedded Engineer
CSE,python machine learning ai data analysis,7.49,3,2,10,Data Scientist
ECE,verilog vlsi design circuits,7.02,1,0,6,Embedded Engineer
ME,mechanical cad cam,8.16,4,2,6,Design Engineer
ME,mechanical cad cam,8.98,2,2,6,Design Engineer
